year,state,total_votes,dem,rep,other
1996,MN,2192492,0.5110075658200810,0.3495542971194420,0.13811407293618400
1996,MO,2158065,0.4753957827961620,0.41241389856190600,0.11219031864193200
1996,MS,893857,0.4408110022072880,0.4920675231049260,0.06712147468778560
1996,MT,407083,0.41250064483164400,0.44131540742305600,0.1461839477453000
1996,NC,2515807,0.4403553213740160,0.4872941366328980,0.07137669940500210
1996,ND,266411,0.4012784757386140,0.46938752528987200,0.12933399897151400
1996,NE,677415,0.34950658016134900,0.5365499730593510,0.11394344677930100
1996,NH,496597,0.4957057734944030,0.395664895277257,0.10862933122834000
1996,NJ,3075860,0.5372029286118350,0.3586310820388440,0.10416598934932000
1996,NM,556074,0.4918320223567370,0.4185611986893830,0.08960677895388020
1996,NV,464279,0.43933496884416500,0.4291471292046380,0.13151790195119700
1996,NY,6439129,0.5833361934510090,0.30027228837937600,0.11639151816961600
1996,OH,4534434,0.4737574744720070,0.4101687222705190,0.11607380325747400
1996,OK,1206713,0.40449137450247100,0.48256296236139,0.11294566313613900
1996,OR,1377760,0.4715197131575890,0.3905992335384970,0.1378810533039140
1996,PA,4501307,0.492261247677619,0.40014355830428800,0.10759519401809300
1996,RI,390247,0.5971858848370390,0.26824805828103700,0.1345660568819240
1996,SC,1150182,0.44006252923450400,0.498476762807973,0.061460707957523200
1996,SD,323826,0.43027119502448800,0.46488855125900900,0.10484025371650200
1996,TN,1894105,0.4799871179264090,0.4559039757563600,0.06400859508844550
1996,TX,5611644,0.43831771937065100,0.48758741645050900,0.07318479219280480
1996,UT,665629,0.3329677643251720,0.54371278895601,0.12308057491485500
1996,VA,2416642,0.45147771163457400,0.471046187230049,0.0774761011353771
1996,VT,258449,0.5335443356329490,0.31090079667555300,0.15338809591060500
1996,WA,2253837,0.49840472048333600,0.3730136651408240,0.12858161437584000
1996,WI,2196169,0.48810952162606800,0.3847741225743560,0.12711635579957600
1996,WV,636459,0.515055958042859,0.3675743449303100,0.11736969702683100
1996,WY,211571,0.3683586124752450,0.4981211980848040,0.1335201894399520
2000,AK,285560,0.27666339823504700,0.5862095531587060,0.13338702899565800
2000,AL,1666272,0.4156650294789810,0.5648375535326770,0.019077917650899700
2000,AR,921781,0.4586425626043500,0.5130719769663290,0.028285460429321100
2000,AZ,1532016,0.4473458501738890,0.5102113816043700,0.04237096740504020
2000,CA,10965822,0.5344973682775450,0.41651496805255500,0.0489876636699009
2000,CO,1741368,0.4239350901130610,0.507502147736722,0.06856276215021750
2000,CT,1459525,0.5590962813244040,0.384436032270773,0.05643068806632300
2000,DC,201894,0.8515508137933770,0.08951727143946820,0.05626219699446240
2000,DE,327529,0.5497772716309090,0.4191628832866710,0.03105984508242020
2000,FL,5963110,0.48837821204036100,0.4884682657204040,0.02314681433010630
2000,GA,2583208,0.4321099965624140,0.5495956965137920,0.01829430692379400
2000,HI,367951,0.5579166791230350,0.3746286869719070,0.06745463390505800
2000,IA,1353022,0.4719191557860850,0.4688563822317750,0.05922446198214070
2000,ID,501615,0.27638128843834400,0.6717043948047810,0.027409467420232600
2000,IL,4742108,0.545965212095549,0.42584879973210200,0.02817628784498370
2000,IN,2199302,0.4101210293083900,0.566468816015263,0.01477241415685520
2000,KS,1072216,0.3723839226424530,0.580416632469577,0.047199444887970300
2000,KY,1544106,0.4137818258591060,0.565064833631888,0.021101530594402200
2000,LA,1765656,0.44875332454339900,0.5255106317425370,0.02573604371406440
2000,MA,2733964,0.5912612602067910,0.32132902993602000,0.08740970985718900
2000,MD,2025212,0.5648830838450490,0.40184780655062300,0.03245141743185410
2000,ME,651817,0.4908601647394900,0.43971850994987900,0.06942132531063170
2000,MI,4232501,0.5127979887069140,0.46146214732140600,0.025302533891899800
2000,MN,2438685,0.479055720603522,0.4550235065209320,0.06590929127788130
2000,MO,2359892,0.47084273348102400,0.5042281595937440,0.02492910692523220
2000,MS,994184,0.40698100150475200,0.5761951509982060,0.016823847497042800
2000,MT,410986,0.3336512679264010,0.584394602249225,0.08195412982437360
2000,NC,2914990,0.43145671168683300,0.559577562873286,0.008965725439881440
2000,ND,288256,0.3305533969804620,0.6065858126110120,0.06286079040852580
2000,NE,697009,0.3325351609520110,0.6224625506987710,0.04501663536625780
2000,NH,569081,0.46803179160787300,0.4807030985044310,0.04902289832203150
2000,NJ,3187226,0.5612560891508790,0.40291243859080000,0.03583147225832120
2000,NM,598605,0.47908554054844200,0.47847411899332600,0.042440340458232100
2000,NV,609426,0.4594126276200880,0.49485089247915300,0.045736479900759100
2000,NY,6960215,0.5901681198066440,0.34530168967481600,0.06452990317109460
2000,OH,4701998,0.46440428090356500,0.4998647383516540,0.03573098074478130
2000,OK,1234229,0.38426904569573400,0.603078521084823,0.012652433219443100
2000,OR,1533950,0.46959940024120700,0.46518921737996700,0.06521138237882590
2000,PA,4912185,0.5060817131276610,0.4643813292862550,0.0295369575860844
2000,RI,409112,0.6098770018967910,0.31911799213907200,0.0702008252019007
2000,SC,1383902,0.40901523373764900,0.5686038462261060,0.022380920036245300
